Orgnr,Navn,Oppfyller pedagognorm,Foreldreundersøkelsen,Antall barn,Antall barn per ansatt,Antall barn per barnehagelærer,Andel ansatte per barnehagelærer,Leke- og oppholdsareal per barn
975322637,Fon barnehage,Ja,4.0,25,5.0,9.7,51.7,9.6
974585731,Eik Vestre barnehage,Ja,3.9,36,5.6,10.7,52.9,6.3
991570497,Ilebrekke barnehage,Ja,3.9,69,6.0,12.9,46.7,4.6
992026650,Trudvanglia barnehage,Ja,3.9,48,5.1,8.3,60.9,6.3
975316971,Brår barnehage,Nei,3.8,56,6.0,14.8,40.6,5.9
975306860,Ekely barnehage,Ja,3.8,91,5.9,11.9,49.7,5.6
974585812,Semsbyen barnehage,Nei,3.8,33,4.7,11.6,41.3,4.9
915777856,Skjeggestadåsen barnehage,Ja,3.8,69,5.9,13.2,45.6,7.8
990114927,Slagen barnehage,Ja,3.8,139,6.0,11.3,53.3,5.2
995849623,Vivestad barnehage,Ja,3.8,18,4.7,10.5,44.6,9.1
974585804,Barkåker barnehage,Ja,3.7,96,5.6,11.9,47.5,5.3
974585944,Fyllpå barnehage,Ja,3.7,53,6.0,12.0,50.0,5.5
917522650,Klokkeråsen barnehage,Nei,3.7,53,5.7,12.2,47.0,5.7
973610341,Kongseik barnehage,Ja,3.7,83,4.6,11.5,40.5,8.4
988435112,Ringshaug barnehage,Nei,3.7,57,6.0,13.3,44.8,5.3
974586029,Råelåsen barnehage,Ja,3.7,72,6.0,11.7,51.7,4.8
974585820,Skoglund barnehage,Ja,3.7,40,5.7,12.3,47.6,4.9
975321223,Solerød barnehage,Nei,3.7,54,6.0,12.9,46.7,5.7
975321215,Brekkeåsen barnehage,Ja,3.6,70,5.2,13.4,38.9,8.5
974585839,Hogsnes barnehage,Nei,3.6,105,5.6,15.7,36.0,3.7
974585774,Knapløkka barnehage,Ja,3.6,98,5.0,10.2,49.6,7.7
974585952,Mortenåsen barnehage,Ja,3.6,59,5.1,10.7,47.7,4.6
990333963,Sandeåsen barnehage,Ja,3.6,166,6.0,12.7,47.5,4.4
979932014,Revetal barnehage,Nei,3.5,52,5.6,14.4,40.0,11.3
974585723,Tolvsrød barnehage,Ja,3.5,51,6.0,12.0,50.0,6.2
973610317,Aulerød barnehage,Ja,3.1,14,2.4,8.2,30.6,6.1
874585742,Presterød barnehage,Nei,2.8,47,6.0,14.3,41.8,4.7
